12/31/2015 9:45:00
type.info,
CWE differences between Version 2.5 and Version 2.6,
type.vulnerabilities,
359,Exposure of Private Information ('Privacy Violation')
451,User Interface (UI) Misrepresentation of Critical Information
923,Improper Restriction of Communication Channel to Intended Endpoints
926,Improper Export of Android Application Components
939,Improper Authorization in Handler for Custom URL Scheme
940,Improper Verification of Source of a Communication Channel
941,Incorrectly Specified Destination in a Communication Channel
1003,Weaknesses for Simplified Mapping of Published Vulnerabilities
134,Use of Externally-Controlled Format String
